FocusLevel,WeekDay,HourOfDay
36.0418777,5,22
36.554306,5,22
37.079,5,22
37.6159668,5,22
38.1652,5,22
38.72667,5,22
39.3003235,5,22
39.886097,5,22
40.4838829,5,22
41.09357,5,22
41.71501,5,22
42.3480453,5,22
42.992466,5,22
43.6480637,5,22
44.31459,5,22
44.9917831,5,22
45.67933,5,22
46.3769226,5,22
47.0842056,5,22
47.8008041,5,22
48.52632,5,22
49.260334,5,22
50.0023956,5,22
50.75203,5,22
50.62515,5,22
50.24451,5,22
49.61011,5,22
48.7219467,5,22
64.3710861,5,22
64.91855,5,22
65.4707642,5,22
66.02734,5,22
65.8622742,5,22
65.36707,5,22
77.0550461,5,23
76.86241,5,23
84.67092,5,23
84.92386,5,23
85.1784,5,23
85.43436,5,23
85.6915359,5,23
85.9497452,5,23
86.20877,5,23
86.4684143,5,23
86.25224,5,23
91.9598846,5,23
92.1144,5,23
92.26904,5,23
92.42368,5,23
92.19263,5,23
91.49945,5,23
95.31539,5,23
95.4109344,5,23
95.5063248,5,23
95.26756,5,23
94.55126,5,23
97.11961,5,23
97.1806,5,23
96.93765,5,23
96.2088,5,23
94.99404,5,23
93.29337,5,23
96.5297241,5,23
96.60456,5,23
96.36305,5,23
98.15868,5,23
98.1991043,5,23
98.23933,5,23
98.279335,5,23
98.3190842,5,23
98.35855,5,23
98.39771,5,23
98.43653,5,23
98.47498,5,23
98.51305,5,23
98.550705,5,23
98.58792,5,23
98.62467,5,23
98.66095,5,23
98.4143,5,23
97.67434,5,23
96.44108,5,23
94.71451,5,23
92.4946442,5,23
89.78146,5,23
86.57498,5,23
82.8752,5,23
78.682106,5,23
73.99571,5,23
68.81601,5,23
63.1430054,5,23
56.976696,5,23
50.3170853,5,23
43.1641655,5,23
15.5391006,6,0
11.978055,6,0
8.201191,6,0
4.208507,6,0
0.451406151,6,8
0.9169271,6,8
1.396844,6,8
1.39335191,6,8
2.77073145,6,8
3.25843,6,8
3.250284,6,8
3.22584581,6,8
3.18511534,6,8
3.12809277,6,8
3.054778,6,8
2.965171,6,8
2.85927224,6,8
4.696624,6,8
5.1915884,6,8
7.467906,6,9
7.9654,6,9
8.477548,6,9
9.004578,6,9
9.546707,6,9
10.1041451,6,9
10.67708,6,9
11.2656918,6,9
11.8701429,6,9
12.4905787,6,9
13.1271248,6,9
13.7798872,6,9
14.4489517,6,9
15.1343813,6,9
15.8362141,6,9
16.5544662,6,9
17.28913,6,9
18.0401573,6,9
18.8074875,6,9
19.5910187,6,9
20.3906269,6,9
20.3396511,6,9
33.1102524,6,9
33.79548,6,9
34.49391,6,9
35.205368,6,9
35.92963,6,9
36.6664543,6,9
37.41556,6,9
37.32202,6,9
50.7576065,6,9
50.6307144,6,9
61.2134628,6,9
61.6851463,6,9
62.1640434,6,9
62.6499367,6,9
63.14258,6,9
62.9847221,6,9
62.5111542,6,9
61.72187,6,9
60.6168747,6,9
59.196167,6,9
57.4597435,6,9
55.40761,6,9
53.03977,6,9
50.35621,6,9
62.937645,6,9
63.4395523,6,9
63.9477043,6,9
64.46181,6,9
64.98155,6,9
64.8191,6,9
75.18359,6,9
74.995636,6,9
82.36206,6,9
82.62652,6,9
82.89347,6,9
83.16274,6,9
82.954834,6,9
88.52225,6,9
92.2711945,6,10
92.04052,6,10
91.34848,6,10
90.19509,6,10
88.5803452,6,10
86.50424,6,10
83.96678,6,10
80.96797,6,10
77.5078049,6,10
73.58628,6,10
82.21372,6,10
82.50043,6,10
82.78917,6,10
82.5822,6,10
81.96128,6,10
88.24621,6,10
88.44466,6,10
88.64421,6,10
88.84472,6,10
89.04602,6,10
89.24797,6,10
89.45039,6,10
89.6531448,6,10
89.85606,6,10
90.05896,6,10
90.2617,6,10
90.46412,6,10
90.66605,6,10
90.86733,6,10
90.64017,6,10
89.95866,6,10
88.82282,6,10
87.2326355,6,10
93.5361252,6,10
93.67802,6,10
93.4438248,6,10
96.75359,6,10
96.82611,6,10
96.8982239,6,10
96.96989,6,10
97.04103,6,10
97.11162,6,10
97.1815948,6,10
97.2509155,6,10
97.00779,6,10
98.74533,6,10
98.77665,6,10
98.8076248,6,10
98.83824,6,10
98.8684845,6,10
98.89833,6,10
98.92777,6,10
98.95678,6,10
98.98536,6,10
99.01348,6,10
99.0411453,6,10
99.06834,6,10
99.09505,6,10
99.12127,6,10
98.87347,6,10
99.66917,6,11
99.6788559,6,11
99.68835,6,11
99.6976547,6,11
99.44841,6,11
99.85196,6,11
99.85642,6,11
99.60678,6,11
98.85786,6,11
97.60966,6,11
95.86216,6,11
98.92293,6,11
98.67562,6,11
97.9337,6,11
96.69717,6,11
94.96601,6,11
98.68967,6,11
98.7295151,6,11
98.7685,6,11
98.80661,6,11
98.84385,6,11
98.59674,6,11
99.67772,6,11
99.68785,6,11
99.43863,6,11
99.87513,6,11
99.87909,6,11
99.6293945,6,11
98.8803,6,11
97.63181,6,11
95.88393,6,11
93.63664,6,11
90.88997,6,11
87.6439,6,11
83.89844,6,11
79.65357,6,11
74.90932,6,11
69.6656647,6,11
63.9226151,6,11
57.680172,6,11
50.9383354,6,11
43.6971,6,11
35.9564743,6,11
27.716444,6,11
18.977026,6,11
9.738214,6,11
0.451406151,6,14
0.9169271,6,14
0.914634764,6,14
0.9077578,6,14
0.896296263,6,14
0.88025,6,14
0.859619141,6,14
0.834403634,6,14
0.8046035,6,14
1.71415246,6,14
2.190208,6,14
2.18473244,6,14
2.16830587,6,14
2.14092827,6,14
2.10259962,6,14
2.05332,6,14
1.9930892,6,14
1.92190742,6,14
1.83977473,6,14
1.74669087,6,14
1.642656,6,14
1.52767,6,14
1.401733,6,14
1.264845,6,14
1.11700606,6,14
0.958215952,6,14
0.344957769,6,15
0.2659049,6,15
0.716110468,6,15
1.18039346,6,15
1.17744243,6,15
1.16858959,6,15
1.15383458,6,15
2.060182,6,15
2.05503154,6,15
2.03958035,6,15
2.013828,6,15
1.97777474,6,15
1.93142068,6,15
1.87476563,6,15
1.80780983,6,15
1.730553,6,15
1.64299524,6,15
1.54513657,6,15
1.436977,6,15
1.31851649,6,15
1.18975508,6,15
1.0506928,6,15
0.901329637,6,15
0.7416656,6,15
0.571700454,6,15
0.39143458,6,15
0.2008678,6,15
0.451406151,7,12
0.450277627,7,12
0.899651766,7,12
1.36307526,7,12
1.84083128,7,12
2.333195,7,12
2.84043264,7,12
3.36280584,7,12
3.90056586,7,12
4.45395231,7,12
5.023193,7,12
5.608507,7,12
6.21009541,7,12
6.828143,7,12
7.46282434,7,12
7.444167,7,12
7.388196,7,12
7.294911,7,12
7.16431141,7,12
6.996398,7,12
13.5478172,7,13
14.1564426,7,13
14.7808685,7,13
15.4212046,7,13
16.0775318,7,13
16.7499161,7,13
17.4383888,7,13
18.1429672,7,13
18.8636436,7,13
19.6003761,7,13
20.3530979,7,13
21.1217136,7,13
21.9061012,7,13
22.7060986,7,13
23.5215187,7,13
23.4627151,7,13
37.0620575,7,13
37.74563,7,13
38.441494,7,13
39.14943,7,13
39.8691673,7,13
40.6004181,7,13
41.3428574,7,13
42.0961342,7,13
42.85988,7,13
43.6336861,7,13
44.41712,7,13
45.2097321,7,13
46.0110321,7,13
46.8205147,7,13
47.63765,7,13
47.5185547,7,13
47.161274,7,13
63.8508224,7,13
64.4198456,7,13
64.99337,7,13
64.83089,7,13
76.6998138,7,13
76.5080643,7,13
84.43616,7,13
84.69297,7,13
84.95141,7,13
85.21129,7,13
85.4724045,7,13
85.25872,7,13
84.61768,7,13
90.48746,7,13
90.65912,7,13
90.83132,7,13
91.0039444,7,13
91.1768341,7,13
90.94889,7,13
94.8083649,7,13
94.91017,7,13
95.0119858,7,13
95.11371,7,13
95.21528,7,13
95.3166,7,13
95.4175949,7,13
95.51819,7,13
97.7807541,7,14
97.83033,7,14
97.5857544,7,14
96.85203,7,14
95.62915,7,14
93.9171143,7,14
91.7159348,7,14
89.0256,7,14
85.8461151,7,14
82.17748,7,14
78.01969,7,14
73.37275,7,14
68.23666,7,14
62.61141,7,14
56.4970131,7,14
49.8934669,7,14
42.80077,7,14
35.21892,7,14
27.1479149,7,14
18.5877628,7,14
9.53846,7,14
0.451406151,1,15
0.9169271,1,15
1.396844,1,15
1.89143384,1,15
2.40096664,1,15
2.39496422,1,15
2.376957,1,15
2.346945,1,15
2.30492783,1,15
2.25090623,1,15
2.18487954,1,15
2.10684824,1,15
2.016812,1,15
4.369355,1,15
4.88350868,1,15
5.41280651,1,15
5.957484,1,15
6.517768,1,15
7.093871,1,15
7.07613659,1,15
7.02293253,1,15
11.8405962,1,15
12.4024658,1,15
12.9797077,1,15
13.5724831,1,15
14.1809349,1,15
14.8051834,1,15
15.4453354,1,15
16.1014767,1,15
16.7736683,1,15
17.4619446,1,15
18.1663227,1,15
18.8867931,1,15
19.6233139,1,15
20.3758221,1,15
20.3248825,1,15
31.7674141,1,15
32.42588,1,15
33.0978546,1,15
33.7832031,1,15
34.4817657,1,15
35.1933556,1,15
47.2871666,1,16
47.87638,1,16
48.47581,1,16
49.08524,1,16
49.70441,1,16
50.3330574,1,16
50.9708862,1,16
51.6175728,1,16
52.27278,1,16
52.936142,1,16
53.6072769,1,16
54.28576,1,16
54.1500435,1,16
53.7429,1,16
53.06433,1,16
52.1143265,1,16
50.8929,1,16
49.40004,1,16
47.6357536,1,16
45.60004,1,16
61.62658,1,16
62.2019272,1,16
62.7827225,1,16
63.3685532,1,16
63.9590225,1,16
64.55371,1,16
65.1521759,1,16
64.989296,1,16
77.57265,1,16
77.95995,1,16
77.76505,1,16
77.18035,1,16
85.63451,1,16
85.88815,1,16
86.14281,1,16
86.39828,1,16
86.65436,1,16
86.91084,1,16
87.1675339,1,16
87.42422,1,16
87.6806946,1,16
87.93676,1,16
87.71692,1,16
87.0573959,1,16
85.95818,1,16
84.41929,1,16
82.44071,1,16
80.0224457,1,16
77.164505,1,16
73.86688,1,16
70.12957,1,16
65.95257,1,16
