FocusLevel,WeekDay,HourOfDay
13.1221685,4,14
12.65352,4,14
12.112772,4,14
11.4999228,4,14
10.8149738,4,14
15.9751034,4,14
16.5288029,4,14
17.0974026,4,14
17.68104,4,14
17.636837,4,14
17.50423,4,14
17.2832165,4,14
16.9737988,4,14
16.5759754,4,14
16.0897465,4,14
22.5497246,4,14
22.493351,4,14
28.4603348,4,14
28.389185,4,14
28.1757317,4,14
27.8199787,4,14
27.32192,4,14
26.6815643,4,14
24.2802219,4,15
23.4130726,4,15
22.4125156,4,15
21.2785473,4,15
20.0111732,4,15
18.6103916,4,15
17.0762,4,15
15.4086027,4,15
13.6075974,4,15
11.6731844,4,15
9.605364,4,15
10.0134106,4,15
10.4342155,4,15
10.8680353,4,15
10.8408651,4,15
10.7593546,4,15
10.6235046,4,15
10.4333134,4,15
10.1887827,4,15
9.889912,4,15
9.536701,4,15
9.12915,4,15
8.667258,4,15
8.151027,4,15
7.58045435,4,15
6.95554256,4,15
8.255228,4,15
8.715416,4,15
9.189508,4,15
9.677747,4,15
10.1803646,4,15
10.1549139,4,15
10.0785608,4,15
9.951306,4,15
9.77314949,4,15
9.544092,4,15
9.264132,4,15
8.9332695,4,15
8.551507,4,15
8.118841,4,15
11.3033447,4,15
11.2750864,4,15
11.1903114,4,15
11.04902,4,15
10.8512106,4,15
10.5968857,4,15
13.6955023,4,15
13.6612635,4,15
13.558547,4,15
13.3873539,4,15
13.1476822,4,15
12.8395338,4,15
12.4629068,4,15
12.0178032,4,15
15.067174,4,15
15.5562572,4,15
15.5173664,4,15
15.4006948,4,15
15.2062416,4,15
14.9340067,4,15
14.0006313,4,16
17.45934,4,16
17.9511,4,16
18.4567413,4,16
18.4105988,4,16
18.2721748,4,16
18.0414658,4,16
17.7184715,4,16
17.303196,4,16
16.7956333,4,16
16.1957912,4,16
15.5036631,4,16
14.7192516,4,16
13.842556,4,16
12.8735771,4,16
11.812314,4,16
16.381813,4,16
16.9147377,4,16
16.8724518,4,16
21.6821041,4,16
22.1981964,4,16
22.1427,4,16
21.9762154,4,16
26.9749756,4,16
26.9075375,4,16
26.7052269,4,16
26.36804,4,16
25.8959751,4,16
25.28904,4,16
24.547226,4,16
23.6705418,4,16
28.560751,4,16
29.04739,4,16
28.9747715,4,16
28.756916,4,16
28.3938236,4,16
27.8854942,4,16
27.2319279,4,16
26.4331245,4,16
25.4890842,4,16
24.3998089,4,16
23.1652946,4,16
21.7855415,4,16
20.2605534,4,16
18.59033,4,16
16.774868,4,16
14.8141689,4,16
12.7082329,4,16
10.4570608,4,16
8.06065,4,16
5.519004,4,16
2.83212137,4,16
0.451406151,4,17
0.450277627,4,17
0.446892083,4,17
0.44124952,4,17
0.4333499,4,17
0.423193276,4,17
0.4107796,4,17
0.3961089,4,17
0.379181176,4,17
0.3599964,4,17
0.338554621,4,17
0.314855784,4,17
0.288899928,4,17
0.260687053,4,17
0.230217129,4,17
0.197490185,4,17
0.162506223,4,17
0.1252652,4,17
0.0857671648,4,17
0.04401211,4,17
0.451406151,5,21
0.450277627,5,21
0.446892083,5,21
0.8962811,5,21
1.35972071,5,21
1.837493,5,21
2.32987261,5,21
2.324048,5,21
2.30657387,5,21
2.27745056,5,21
2.18635249,5,22
2.13511,5,22
3.98615932,5,22
3.976194,5,22
5.79242039,5,22
6.28169346,5,22
6.78556442,5,22
6.76860046,5,22
9.496274,5,22
9.472533,5,22
9.401311,5,22
9.282608,5,22
9.116423,5,22
8.902757,5,22
8.641609,5,22
8.33298,5,22
7.97687054,5,22
7.57327843,5,22
7.12220573,5,22
6.623651,5,22
6.07761526,5,22
5.484098,5,22
4.84309959,5,22
4.15461969,5,22
3.41865873,5,22
2.63521576,5,22
1.80429208,5,22
0.925887,5,22
0.451406151,7,1
0.9169271,7,1
0.914634764,7,1
1.823174,7,1
2.29870176,7,1
2.788768,7,1
3.29364014,7,1
3.813577,7,1
4.348829,7,1
4.89963341,7,1
5.46622,7,1
6.04880333,7,1
6.647584,7,1
7.262749,7,1
7.244592,7,1
7.19012165,7,1
7.09933758,7,1
6.972239,7,1
12.9322624,7,1
13.5253611,7,1
14.1341419,7,1
14.7587318,7,1
14.7218351,7,1
14.611145,7,1
14.4266605,7,1
14.1683826,7,1
13.8363113,7,1
13.4304457,7,1
12.9507875,7,1
12.3973351,7,1
11.7700891,7,1
11.0690489,7,1
10.2942152,7,1
9.445588,7,1
8.523168,7,1
7.526953,7,1
6.45694542,7,1
5.31314373,7,1
4.09554768,7,1
2.804159,7,1
1.43897676,7,1
0.451406151,7,1
0.9169271,7,1
1.396844,7,1
1.39335191,7,1
1.38287556,7,1
2.7604022,7,2
3.24815345,7,2
3.75063944,7,2
4.26811934,7,2
4.257449,7,2
7.058592,7,2
7.57578468,7,2
8.108007,7,2
8.655479,7,2
8.633841,7,2
8.568925,7,2
8.46073151,7,2
8.30926,7,2
8.11451149,7,2
7.876486,7,2
7.59518337,7,2
7.270603,7,2
6.902745,7,2
6.49160957,7,2
6.03719664,7,2
5.539507,7,2
4.99853945,7,2
4.41429424,7,2
3.78677225,7,2
3.11597276,7,2
2.40189528,7,2
1.644541,7,2
0.843909442,7,2
0.451406151,7,3
0.9169271,7,3
1.396844,7,3
1.39335191,7,3
1.38287556,7,3
2.7604022,7,3
3.24815345,7,3
3.75063944,7,3
4.26811934,7,3
4.80084133,7,3
5.349043,7,3
5.912952,7,3
6.492782,7,3
7.088734,7,3
7.70099258,7,3
8.329726,7,3
8.975087,7,3
9.637204,7,3
10.31619,7,3
11.0121326,7,3
11.7250957,7,3
11.6957827,7,3
20.9564629,7,3
21.61015,7,3
21.5561237,7,3
30.3634224,7,3
30.9576988,7,3
31.5655518,7,3
32.1869469,7,3
32.82183,7,3
32.7397766,7,3
32.4936142,7,3
32.08334,7,3
31.5089569,7,3
30.7704659,7,3
29.8678646,7,3
28.801157,7,3
27.57034,7,3
26.1754112,7,3
24.6163731,7,3
